公告发布日期,交易所,做市商,证券代码,生效日期,动作,服务类型原文,来源URL
2026-05-20,SSE,华泰证券股份有限公司,508090,2026-05-21,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819103.shtml
2026-05-20,SSE,西部证券股份有限公司,510580,2026-05-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819087.shtml
2026-05-20,SSE,西部证券股份有限公司,510630,2026-05-21,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819077.shtml
2026-05-20,SSE,国金证券股份有限公司,512050,2026-05-21,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819101.shtml
2026-05-20,SSE,东莞证券股份有限公司,512100,2026-05-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819089.shtml
2026-05-20,SSE,西部证券股份有限公司,512560,2026-05-21,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819073.shtml
2026-05-20,SSE,西部证券股份有限公司,512570,2026-05-21,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819083.shtml
2026-05-20,SSE,长江证券股份有限公司,513230,2026-05-21,终止,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819065.shtml
2026-05-20,SSE,西部证券股份有限公司,516080,2026-05-21,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819067.shtml
2026-05-20,SSE,西部证券股份有限公司,516310,2026-05-21,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819081.shtml
2026-05-20,SSE,西部证券股份有限公司,516350,2026-05-21,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819085.shtml
2026-05-20,SSE,西部证券股份有限公司,516570,2026-05-21,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819071.shtml
2026-05-20,SSE,招商证券股份有限公司,520650,2026-05-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819095.shtml
2026-05-20,SSE,西部证券股份有限公司,560390,2026-05-21,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819079.shtml
2026-05-20,SSE,兴业证券股份有限公司,560780,2026-05-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819097.shtml
2026-05-20,SSE,华安证券股份有限公司,560780,2026-05-21,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819091.shtml
2026-05-20,SSE,兴业证券股份有限公司,560910,2026-05-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819099.shtml
2026-05-20,SSE,国信证券股份有限公司,560910,2026-05-21,新增,主做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819093.shtml
2026-05-20,SSE,西部证券股份有限公司,560930,2026-05-21,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819075.shtml
2026-05-20,SSE,西部证券股份有限公司,562970,2026-05-21,新增,一般做市服务,https://www.sse.com.cn/disclosure/announcement/general/jjzssgg/c/c_20260520_10819069.shtml
2026-05-20,SZSE,中国银河证券股份有限公司,159012,2026-05-20,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?740fa992-097e-4036-b48a-1b9a8a07fb34
2026-05-20,SZSE,东吴证券股份有限公司,159233,2026-05-20,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?9dc45a78-7a8f-423e-bf7d-ff7ac3d878e0
2026-05-20,SZSE,东吴证券股份有限公司,159233,,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?9dc45a78-7a8f-423e-bf7d-ff7ac3d878e0
2026-05-20,SZSE,西部证券股份有限公司,159715,2026-05-20,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?aa0e5b4b-676d-403d-859b-6ca4c2b92d5d
2026-05-20,SZSE,国泰海通证券股份有限公司,159972,2026-05-20,新增,一般流动性服务商,https://www.szse.cn/disclosure/listed/bulletinDetail/index.html?da1bec19-2bf0-4d88-a37a-bf1ce2cb7044
